objectid,filename,title,format,description,creator,date,editor,illustrator,publisher,region-of-origin,isbn,reading-level,age-range,grade-level,subject
coll001,the-jumbies.jpg,The Jumbies,image/jpeg,"Corinne La Mer claims she isn’t afraid of anything. Not scorpions, not the boys who tease her, and certainly not jumbies. They’re just tricksters made up by parents to frighten their children. Then one night Corinne chases an agouti all the way into the forbidden forest, and shining yellow eyes follow her to the edge of the trees. They couldn’t belong to a jumbie. Or could they?<br>When Corinne spots a beautiful stranger at the market the very next day, she knows something extraordinary is about to happen. When this same beauty, called Severine, turns up at Corinne’s house, danger is in the air. Severine plans to claim the entire island for the jumbies. Corinne must call on her courage and her friends and learn to use ancient magic she didn’t know she possessed to stop Severine and to save her island home.",Tracey Baptiste,2016,,,Algonquin Young Readers,Caribbean Islands; Trinidad and Tobago,978-1616205928,680L,9 to 12,4 to 7,Courage; Friendship; Coming of Age
coll003,hansel-and-gretel.jpg,Hansel & Gretel,image/jpeg,"""If this isn't the definitive edition of Hansel and Gretel, it's absolutely necessary.""—Kirkus Reviews, starred review<br>Best-selling author Neil Gaiman and fine artist Lorenzo Mattotti join forces to create Hansel & Gretel, a stunning book that's at once as familiar as a dream and as evocative as a nightmare. Mattotti's sweeping ink illustrations capture the terror and longing found in the classic Brothers Grimm fairy tale. Gaiman crafts an original text filled with his signature wit and pathos that is sure to become a favorite of readers everywhere, young and old.",Neil Gaiman,2014,,Lorenzo Mattotti ,TOON Books,Europe; Germany,"978-1935179627",820L,7 to 10,2 to 5,Greed; Family; Temptation
coll002,irish-fairy-tales.jpg,Irish Fairy Tales,image/jpeg,"James Stephens' collection of Irish Fairy Tales is presented in this beautiful volume alongside gorgeous illustrations by Arthur Rackham.<br>James Stephens was an Irish novelist and poet, and his retellings of Irish myths and fairy tales combine humour and lyricism, making them light and fun reads. This edition of Irish Fairy Tales features a series of dazzling colour and black-and-white illustrations from the masterful Golden Age artist Arthur Rackham.",James Stephens,1905,,Arthur Rackham,Pook Press,Europe; Ireland,978-1447449454,,9 to 12,,Love; Kindness; Coming of Age; Courage
coll004,house-with-chicken-legs.jpg,The House with Chicken Legs,image/jpeg,"All 12-year-old Marinka wants is a friend. A real friend. Not like her house with chicken legs. Sure, the house can play games like tag and hide-and-seek, but Marinka longs for a human companion. Someone she can talk to and share secrets with.<br>But that's tough when your grandmother is a Yaga, a guardian who guides the dead into the afterlife. It's even harder when you live in a house that wanders all over the world . . . carrying you with it. Even worse, Marinka is being trained to be a Yaga. That means no school, no parties--and no playmates that stick around for more than a day.<br>So when Marinka stumbles across the chance to make a real friend, she breaks all the rules . . . with devastating consequences. Her beloved grandmother mysteriously disappears, and it's up to Marinka to find her--even if it means making a dangerous journey to the afterlife.",Sophie Anderson,2020,,,"Scholastic, Inc.",Asia; Russia,978-1338209976,,9 to 12,3 to 7,Responsibility; Friendship; Courage
coll005,howls-moving-castle.jpg,Howl's Moving Castle,image/jpeg,"This entrancing classic fantasy novel is filled with surprises at every turn. An international bestseller, this much-loved book is the source for the Academy Award nominee for Best Animated Feature.<br>Sophie has the great misfortune of being the eldest of three daughters, destined to fail miserably should she ever leave home to seek her fate. But when she unwittingly attracts the ire of the Witch of the Waste, Sophie finds herself under a horrid spell that transforms her into an old lady. Her only chance at breaking it lies in the ever-moving castle in the hills: the Wizard Howl's castle.<br>To untangle the enchantment, Sophie must handle the heartless Howl, strike a bargain with a fire demon, and meet the Witch of the Waste head-on. Along the way, she discovers that there's far more to Howl—and herself—than first meets the eye.<br>In this giant jigsaw puzzle of a fantasy, people and things are never quite what they seem. Destinies are intertwined, identities exchanged, lovers confused. The Witch has placed a spell on Howl. Does the clue to breaking it lie in a famous poem? And what will happen to Sophie Hatter when she enters Howl's castle?<br>All fans of classic fantasy books deserve the pleasure of reading those by Diana Wynne Jones, whose acclaim included the World Fantasy Award for Life Achievement. As Neil Gaiman stated, she was ""quite simply the best writer for children of her generation.""",Diana Wynne Jones,2008,,,Greenwillow Books,Europe; England,978-0061478789,800L,9 and up,4 to 7,Compassion; Adventure; Love
coll006,baba-yaga.jpg,Baba Yaga's Assistant,image/jpeg,"Most children think twice before braving a haunted wood filled with terrifying beasties to match wits with a witch, but not Masha. Her beloved grandma taught her many things: that stories are useful, that magic is fickle, that nothing is too difficult or too dirty to clean. The fearsome witch of folklore needs an assistant, and Masha needs an adventure. She may be clever enough to enter Baba Yaga's house-on-chicken-legs, but within its walls, deceit is the rule. To earn her place, Masha must pass a series of tests, outfox a territorial bear, and make dinner for her host. No easy task, with children on the menu! Spooky and poignant, Marika McCoola's stunning debut—with richly layered art by acclaimed graphic artist Emily Carroll—is a storytelling feat and a visual feast.",Marika McCoola,2015,,Emily Carroll,Candlewick,Asia; Russia,978-0763669614,GN340,9 to 12,5 to 6,Courage; Coming of Age
coll007,where-the-mountain-meets-the-moon.jpg,Where the Mountain Meets the Moon,image/jpeg,"In the valley of Fruitless mountain, a young girl named Minli lives in a ramshackle hut with her parents. In the evenings, her father regales her with old folktales of the Jade Dragon and the Old Man of the Moon, who knows the answers to all of life’s questions. Inspired by these stories, Minli sets off on an extraordinary journey to find the Old Man of the Moon to ask him how she can change her family’s fortune. She encounters an assorted cast of characters and magical creatures along the way, including a dragon who accompanies her on her quest for the ultimate answer.",Grace Lin,2019,,,"Little, Brown Books for Young Readers",Asia; China,978-0316038638,810L,8 to 12,2 to 6,Faith; Friendship
coll008,tales-from-india.jpg,Tales from India,image/jpeg,"A collection of 20 stories from India's rich folklore heritage. From wicked magicians to wise old priests, charming princes and beautiful princesses, to greedy tigers and wily jackals, these magical tales are full of adventure and trickery, and infused with deeper messages about morality, Life and the world around us. Founded on the work of folklorist, Joseph Jacob, and from tales from India's Mughul period, award-winning author Bali Rai's lively retellings are a delight for readers of all ages.",Bali Rai,2017,Asha Upadhyay,,Penguin Books,Asia; India,978-0141373065,620L,,,Wisdom; Adventure; Morality
coll009,princess-curse.jpg,The Princess Curse,image/jpeg,"In the fifteenth-century kingdom of Sylvania, the prince offers a fabulous reward to anyone who cures the curse that forces the princesses to spend each night dancing to the point of exhaustion. Everyone who tries disappears or falls into an enchanted sleep. Thirteen-year-old Reveka, a smart, courageous herbalist’s apprentice, decides to attempt to break the curse despite the danger. Unravelling the mystery behind the curse leads Reveka to the Underworld, and to save the princesses, Reveka will have to risk her soul.",Merrie Haskell,2013,,,HarperCollins,Europe; France; Germany,978-0062008152,790L,9 to 13,3 to 7,Courage; Coming of Age
coll010,cendrillon.jpg,Cendrillon: A Carribean Cinderella,image/jpeg,"You may think you already know this story about a beautiful servant girl, a cruel stepmother, a magnificent ball, and a lost slipper. But you’ve never heard it for true. Now you can hear the tale from someone who was there: a poor washerwoman from the island of Martinique. She has just one thing in the world to love, her goddaughter Cendrillon. When she finds Cendrillon heartsick over a rich man’s son, at first she doesn’t know what to do. But she has sharp wits, a strong will, and the magic wand her mother left her—and soon she has a plan to give her dear Cendrillon the gift of a love that will change her life.",Robert D. San Souci,2002,,Brian Pinkney,Alladin,Carribean Islands; Martinique,978-2914692281,AD670L,5 to 10,K to 5,Overcoming Adversity; Coming of Age
